"features" "mean" "stdev"
"1" "tBodyAcc-mean()-X" 0.274347260646063 0.0676277962784943
"2" "tBodyAcc-mean()-Y" -0.0177434918458972 0.0371281663827435
"3" "tBodyAcc-mean()-Z" -0.108925032737064 0.0530330859935597
"4" "tBodyAcc-std()-X" -0.607783818968688 0.438693831339194
"5" "tBodyAcc-std()-Y" -0.510191378479501 0.500239766883052
"6" "tBodyAcc-std()-Z" -0.61306429934125 0.403656584651858
"7" "tBodyAcc-mad()-X" -0.633592610907429 0.413333018338302
"8" "tBodyAcc-mad()-Y" -0.525696539001884 0.484200647735623
"9" "tBodyAcc-mad()-Z" -0.61498890978365 0.399034058245509
"10" "tBodyAcc-max()-X" -0.466732370523269 0.538706787937137
"11" "tBodyAcc-max()-Y" -0.305180462546411 0.279920275645106
"12" "tBodyAcc-max()-Z" -0.562229619850407 0.282990528345684
"13" "tBodyAcc-min()-X" 0.525304172511095 0.35658895383491
"14" "tBodyAcc-min()-Y" 0.389536587321513 0.338844070101853
"15" "tBodyAcc-min()-Z" 0.598021923353949 0.290614654527968
"16" "tBodyAcc-sma()" -0.552087115648893 0.461374610489333
"17" "tBodyAcc-energy()-X" -0.825459670396252 0.247051818372546
"18" "tBodyAcc-energy()-Y" -0.902704282327838 0.125987849568003
"19" "tBodyAcc-energy()-Z" -0.854661759222973 0.205997502274485
"20" "tBodyAcc-iqr()-X" -0.689161821371472 0.359208955275679
"21" "tBodyAcc-iqr()-Y" -0.643511768623583 0.368864626867882
"22" "tBodyAcc-iqr()-Z" -0.640685815482928 0.372065441972237
"23" "tBodyAcc-entropy()-X" -0.100331848808134 0.462315492015796
"24" "tBodyAcc-entropy()-Y" -0.128765122937701 0.433687257153052
"25" "tBodyAcc-entropy()-Z" -0.157863394141636 0.368101697846064
"26" "tBodyAcc-arCoeff()-X,1" -0.118954333677729 0.30772148256937
"27" "tBodyAcc-arCoeff()-X,2" 0.108573706261895 0.247139818354679
"28" "tBodyAcc-arCoeff()-X,3" -0.0356994169213299 0.24782017417328
"29" "tBodyAcc-arCoeff()-X,4" 0.122000192842546 0.232044067142965
"30" "tBodyAcc-arCoeff()-Y,1" -0.029676503537188 0.254461172108767
"31" "tBodyAcc-arCoeff()-Y,2" 0.0317237742172389 0.213707644491184
"32" "tBodyAcc-arCoeff()-Y,3" 0.155147508424199 0.208718482461815
"33" "tBodyAcc-arCoeff()-Y,4" -0.0180767920878722 0.22025683499872
